name,lat,lon,cluster,source,country,max_abs
gladstone-59750-aus-bom,-23.8333,151.25,631,bom,aus,1.0920922904946286
clearwater_bch_fl-773a-usa-uhslc,27.977,-82.832,632,uhslc,usa,1.0921842054839404
galets_60minute-gal-fra-cmems,-20.92,55.3,633,cmems,fra,1.0949040338862583
portrush-pru-gbr-bodc,55.2068,-6.6568,634,bodc,gbr,1.0968384296367168
cleveland_oh-9063063-usa-noaa,41.5409,-81.6355,635,noaa,usa,1.0971791709417786
fort_point-8423898-usa-noaa,43.0714,-70.7106,636,noaa,usa,1.0998784786617548
tokachiko-0122-jpn-jodc_pahb,42.297,143.3222,637,jodc_pahb,jpn,1.1012409417364637
port_san_luis-9412110-usa-noaa,35.1688,-120.7542,638,noaa,usa,1.1015008888243285
goteborgklippan-got-swe-cmems,57.6833,11.9,639,cmems,swe,1.101621896054547
bangor-ban-gbr-cmems,54.665,-5.6692,640,cmems,gbr,1.104889494097121
manta-089b-ecu-uhslc,-0.932,-80.722,641,uhslc,ecu,1.105894347843087
prudhoe_bay_ak-579a-usa-uhslc,70.4,-148.527,642,uhslc,usa,1.1066218765551077
paita-678b-per-uhslc,-5.083,-81.167,643,uhslc,per,1.1078946624114945
halifax-490-can-meds,44.67,-63.58,644,meds,can,1.1091481600016584
porterin-por-gbr-cmems,54.0854,-4.7681,645,cmems,gbr,1.109566810990018
shanwei-641a-chn-uhslc,22.75,115.35,646,uhslc,chn,1.109767472497895
salina_cruz-394a-mex-uhslc,16.16,-95.203,647,uhslc,mex,1.1136340198087198
salina_cruz-394-mex-unam,16.3183,-95.1967,648,unam,mex,1.1136902200384713
corpus_cristi_tx-770a-usa-uhslc,27.58,-97.217,649,uhslc,usa,1.115220813388758
lark_harbour-2685-can-meds,49.1,-58.37,650,meds,can,1.1152669169583995
lampedusa-lam-ita-ispra,35.4998,12.6044,651,ispra,ita,1.1160016947125266
victor_harbor-61490-aus-bom,-35.5625,138.6354,652,bom,aus,1.1160738982736462
bowen-59320-aus-bom,-20.025,148.25,653,bom,aus,1.1168434174367108
tomakomainishiko-0136-jpn-jodc_pahb,42.6297,141.6211,654,jodc_pahb,jpn,1.1200213840855855
wrightsville_beach-8658163-usa-noaa,34.2133,-77.7867,655,noaa,usa,1.120205926331296
newhaven-new-gbr-cmems,50.7833,0.0667,656,cmems,gbr,1.1209784568945962
izuhara-hd23-jpn-jodc_jcg,34.1978,129.2917,657,jodc_jcg,jpn,1.1241896980547683
sitka_ak-559a-usa-uhslc,57.052,-135.342,658,uhslc,usa,1.1245665640268176
weipa_humbug_point-63620-aus-bom,-12.67,141.8633,659,bom,aus,1.124906288294505
bergen-bgo-nor-nhs,60.398,5.3205,660,nhs,nor,1.1265906899765803
shute_harbour-59410-aus-bom,-20.2833,148.7833,661,bom,aus,1.1280497002484615
east_london-187a-zaf-uhslc,-33.017,27.917,662,uhslc,zaf,1.129692809766679
saipan-028b-usa-uhslc,15.227,145.742,663,uhslc,usa,1.1307518642308452
raahe-raa-fin-cmems,64.6659,24.4071,664,cmems,fin,1.1376424925386737
hay_point-59511-aus-bom,-21.2683,149.3033,665,bom,aus,1.141939168714873
georgetown-60950-aus-bom,-41.11,146.82,666,bom,aus,1.14319609478013
seattle-9447130-usa-noaa,47.6019,-122.3392,667,noaa,usa,1.144167970250872
irouzaki-ma78-jpn-jodc_jma,34.6117,138.8492,668,jodc_jma,jpn,1.145572100871757
civitavecchia-civ-ita-ispra,42.094,11.7896,669,ispra,ita,1.1493943438835712
daugavgriva-dau-lva-cmems,57.05,24.0167,670,cmems,lva,1.150679905141959
turner_cut_near_holt-trn-usa-cdwr,37.9928,-121.4542,671,cdwr,usa,1.1514758018521396
roscoff_60minute-ros-fra-cmems,48.7184,-3.9659,672,cmems,fra,1.1522728503367878
cherbourg_60minute-che-fra-cmems,49.6513,-1.6355,673,cmems,fra,1.1547788009287048
saint_malo-410-fra-refmar,48.6408,-2.0281,674,refmar,fra,1.1577766610039186
tanegashima-ma75-jpn-jodc_jma,30.4636,130.9644,675,jodc_jma,jpn,1.158471492398066
nordrerose-nor-dnk-cmems,55.6361,12.6867,676,cmems,dnk,1.1602708536258108
sassnitz-sas-deu-cmems,54.5108,13.6431,677,cmems,deu,1.1639116945257963
shibaura-hd07-jpn-jodc_jcg,35.6369,139.7536,678,jodc_jcg,jpn,1.1671102353932408
tarifa-tari-esp-ieo,36.0086,-5.6026,679,ieo,esp,1.171213055583942
shijiusuo-642a-chn-uhslc,35.383,119.55,680,uhslc,chn,1.1720010923011377
sorel-15930-can-meds,46.05,-73.12,681,meds,can,1.1723985958403669
viker-vik-nor-nhs,59.036,10.9498,682,nhs,nor,1.1802878754659418
ancona-anx-ita-ispra,43.6248,13.5065,683,ispra,ita,1.1810315434438572
malmo-mal-swe-cmems,55.6167,13.0,684,cmems,swe,1.1819184989703342
sthelier-sth-gbr-cmems,49.1833,-2.1167,685,cmems,gbr,1.1857934679337438
bodo-boo-nor-nhs,67.2923,14.3998,686,nhs,nor,1.1861272965387395
hachijyojima-hd11-jpn-jodc_jcg,33.1303,139.8047,687,jodc_jcg,jpn,1.1889192798136117
colonial_beach-8635150-usa-noaa,38.2517,-76.96,688,noaa,usa,1.1962850593886434
grand_isle_la-765a-usa-uhslc,29.263,-89.957,689,uhslc,usa,1.1972509459664726
slipshavn-sli-dnk-cmems,55.2833,10.8333,690,cmems,dnk,1.19943984996353
stockton_california-9414883-usa-da_sat,37.9583,-121.29,691,da_sat,usa,1.2003254334553677
toba-ma23-jpn-jodc_jma,34.4853,136.8247,692,jodc_jma,jpn,1.2026705622621436
puerto_montt-684a-chl-uhslc,-41.485,-72.962,693,uhslc,chl,1.2051488027515656
lessablesdolonne_60minute-les-fra-cmems,46.4975,-1.7938,694,cmems,fra,1.2052140044381936
easter-022c-chl-uhslc,-27.155,-109.473,695,uhslc,chl,1.2053964346323405
kop_van_het_land-kopvhld-nld-rws,51.7883,4.7576,696,rws,nld,1.2056841384222652
quonset_point-8454049-usa-noaa,41.5869,-71.41,697,noaa,usa,1.2061734024969228
shimonoseki-ma51-jpn-jodc_jma,33.925,130.9278,698,jodc_jma,jpn,1.2065674810326767
western_port_stony_point-60710-aus-bom,-38.3739,145.2228,699,bom,aus,1.2068126174396183
ringhals-2105-swe-smhi,57.2497,12.1125,700,smhi,swe,1.210644396595722
aburatsubo-gs01-jpn-jodc_giaj,35.16,139.6155,701,jodc_giaj,jpn,1.2128575649294864
brunswick_heads-202403-aus-bom,-28.5368,153.5521,702,bom,aus,1.2133479207523272
ko_lak-328a-tha-uhslc,11.795,99.817,703,uhslc,tha,1.214486685423892
palinuro-pal-ita-ispra,40.0299,15.2753,704,ispra,ita,1.2151675430862028
napoli-nap-ita-ispra,40.8414,14.2692,705,ispra,ita,1.2183885312415494
quepos-087a-cri-uhslc,9.4,-84.167,706,uhslc,cri,1.2205685060282017
port_fourchon-8762075-usa-noaa,29.1142,-90.1993,707,noaa,usa,1.2208487681726252
